epoch_s,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,T_w_h_ini_00,T_w_h_ini_01,T_w_h_ini_02,T_w_h_ini_03,T_w_h_ini_10,T_w_h_ini_11,T_w_h_ini_12,T_w_h_ini_13,T_w_h_ini_20,T_w_h_ini_21,T_w_h_ini_22,T_w_h_ini_23,T_w_h_ini_30,T_w_h_ini_31,T_w_h_ini_32,T_w_h_ini_33,T_w_h_t_00,T_w_h_t_01,T_w_h_t_02,T_w_h_t_03,T_w_h_t_10,T_w_h_t_11,T_w_h_t_12,T_w_h_t_13,T_w_h_t_20,T_w_h_t_21,T_w_h_t_22,T_w_h_t_23,T_w_h_t_30,T_w_h_t_31,T_w_h_t_32,T_w_h_t_33,delta_T_h_00,delta_T_h_01,delta_T_h_02,delta_T_h_03,delta_T_h_10,delta_T_h_11,delta_T_h_12,delta_T_h_13,delta_T_h_20,delta_T_h_21,delta_T_h_22,delta_T_h_23,delta_T_h_30,delta_T_h_31,delta_T_h_32,delta_T_h_33,delta_T_b_00,delta_T_b_01,delta_T_b_02,delta_T_b_03,delta_T_b_10,delta_T_b_11,delta_T_b_12,delta_T_b_13,delta_T_b_20,delta_T_b_21,delta_T_b_22,delta_T_b_23,delta_T_b_30,delta_T_b_31,delta_T_b_32,delta_T_b_33,T_b_e_t_00,T_b_e_t_01,T_b_e_t_02,T_b_e_t_03,T_b_e_t_10,T_b_e_t_11,T_b_e_t_12,T_b_e_t_13,T_b_e_t_20,T_b_e_t_21,T_b_e_t_22,T_b_e_t_23,T_b_e_t_30,T_b_e_t_31,T_b_e_t_32,T_b_e_t_33
1753917760.4461324,0.0,0.0,0.0,2.7807637911546456e-17,5.827578907347884e-16,-5.274891661045345e-16,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,1.0,3.138428054909874e-16,-5.856306201832002e-16,-1.3877787807814457e-17,3.258533016462472e-16,0.9999999999999999,2.802076909049283e-16,1.1102230246251565e-16,-7.869931055360868e-16,1.9842309269485388e-16,0.9999999999999997,-2.220446049250313e-16,-1.66586796471432e-16,-2.5132190227346805e-16,-3.0559514683763134e-17,0.9999999999999996,0.9999999999999999,2.802076909049283e-16,3.258533016462472e-16,1.1102230246251565e-16,1.9842309269485388e-16,0.9999999999999997,-7.869931055360868e-16,-2.220446049250313e-16,3.138428054909874e-16,-5.856306201832002e-16,1.0,-1.3877787807814457e-17,0.0,0.0,0.0,1.0,-4.077489211681534e-06,0.00044964155850410177,0.9999998989029166,0.45349407373434386,0.9999999966964747,8.118325771800091e-05,4.040986240786909e-06,0.0013627039203275187,-8.118143251481123e-05,0.9999998956158681,-0.0004496418880438434,0.42323749173034286,0.0,0.0,0.0,1.0
1753917760.4658275,0.0,0.0,0.0,-0.017266898714592294,-0.014001376714814967,0.013328192750987209,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.9650623062128008,0.21701067868991408,-0.06520687537615323,0.07955106,0.2236601999934662,0.9741992141039134,0.07782413087772118,0.9198547,0.13649490857212604,-0.06198593851721922,0.9948323818899373,0.4710616,0.0,0.0,0.0,1.0,0.9956263436741791,0.010126938447450136,-0.01919745813887954,0.001855545806171116,-0.011870863470868149,0.9999046673269824,-0.009451479708680181,-0.0004109349690035735,0.019105591836187003,0.007449356430729389,1.0039286820586169,0.011258069337288013,-1.6345865270037922e-16,-2.5321260603598998e-16,-2.510616638938636e-17,0.9999999999999996,0.9999046673269824,-0.009451479708680181,-0.011870863470868149,-0.0004109349690035735,0.007449356430729389,1.0039286820586169,0.019105591836187003,0.011258069337288013,0.010126938447450136,-0.01919745813887954,0.9956263436741791,0.001855545806171116,0.0,0.0,0.0,1.0,0.010126209863387517,-0.018746009602537573,0.9956348820906668,0.4553546831243502,0.999905309709614,-0.009370055053195395,-0.011865289065111136,0.0009526904176608525,0.007363628464139131,1.0039379765303786,0.018658878226613083,0.43449475892163714,0.0,0.0,0.0,1.0
1753917760.4860992,0.0,0.0,0.0,-0.01847270183439366,-0.01467225529775853,0.013828022061920757,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.9649804903448375,0.21658595369624384,-0.06405494425458161,0.0794185,0.22324396980489328,0.9743081572077911,0.07730623016211013,0.9196482,0.13774898620167433,-0.06175871970699343,0.9949475920342062,0.4715747,0.0,0.0,0.0,1.0,0.9953232514811167,0.010550422351766965,-0.020470794600970947,0.0018884013929900134,-0.012345020688614679,0.9998978545426516,-0.009700654208246414,-0.0006778523425271521,0.02037120286851954,0.0076277944976535774,1.0041774127650882,0.011752179046249811,-1.6332767190788715e-16,-2.5328689364177586e-16,-2.4839023427783974e-17,0.9999999999999996,0.9998978545426516,-0.009700654208246414,-0.012345020688614679,-0.0006778523425271521,0.0076277944976535774,1.0041774127650882,0.02037120286851954,0.011752179046249811,0.010550422351766965,-0.020470794600970947,0.9953232514811167,0.0018884013929900134,0.0,0.0,0.0,1.0,0.01054977398584092,-0.020019233080229536,0.995332360932934,0.4553877619684598,0.9998985131227818,-0.009619214504704552,-0.01233934475965605,0.0006858132912238599,0.007541876649406516,1.0041872999846402,0.019924663902544024,0.4349888754745084,0.0,0.0,0.0,1.0
1753917760.5061643,0.0,0.0,0.0,-0.019532994727157752,-0.015231700210744879,0.014369574750989378,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.964900853424601,0.21625166946739424,-0.06305673421113818,0.07933313,0.22290281083870625,0.9744007399625056,0.07676600206843054,0.9194678,0.13885488821312938,-0.061468800322489074,0.9950531790799201,0.4721559,0.0,0.0,0.0,1.0,0.995054362204335,0.01087393227445319,-0.0215953970264144,0.001873284727702304,-0.012736304143401003,0.9998912941613355,-0.01000579257227778,-0.0009134949293448935,0.021489374713309972,0.007881229886063278,1.0043949043402236,0.012322791140708667,-1.632187111913874e-16,-2.533468822183844e-16,-2.4581637995304313e-17,0.9999999999999996,0.9998912941613355,-0.01000579257227778,-0.012736304143401003,-0.0009134949293448935,0.007881229886063278,1.0043949043402236,0.021489374713309972,0.012322791140708667,0.01087393227445319,-0.0215953970264144,0.995054362204335,0.001873284727702304,0.0,0.0,0.0,1.0,0.010873397857654146,-0.02114373635452977,0.9950639760553213,0.4553729028364419,0.9998919746234971,-0.009924339755556214,-0.012730538522894581,0.0004502169682470546,0.007795167080330299,1.0044053219770002,0.021042988299448527,0.43555951343629307,0.0,0.0,0.0,1.0
1753917760.5274727,0.0,0.0,0.0,-0.021366991959433083,-0.016754055010568644,0.016521696183106182,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.964886408788394,0.2151558806101564,-0.06142325328654838,0.07898806,0.2216413087883904,0.97474157421669,0.07471188150378387,0.919592,0.14095867612178242,-0.059889986912982716,0.9953116691357844,0.4728203,0.0,0.0,0.0,1.0,0.9945410639598486,0.011878672485562826,-0.02370807383914067,0.002176415688426525,-0.014106709502553527,0.9998617095694885,-0.011647604880663355,-0.0009182285324212947,0.023572198448472092,0.009351193644389206,1.0047880897939043,0.012956067294132678,-1.628524396819744e-16,-2.5355174479459534e-16,-2.3829086097218512e-17,0.9999999999999996,0.9998617095694885,-0.011647604880663355,-0.014106709502553527,-0.0009182285324212947,0.009351193644389206,1.0047880897939043,0.023572198448472092,0.012956067294132678,0.011878672485562826,-0.02370807383914067,0.9945410639598486,0.002176415688426525,0.0,0.0,0.0,1.0,0.011878799044613569,-0.02325622946667843,0.9945516199746514,0.45567631853309826,0.9998625134283358,-0.011566128675739936,-0.014100776861335006,0.0004455360015555023,0.009264681313649367,1.0047995906223046,0.02312615386905886,0.43619265360751625,0.0,0.0,0.0,1.0
1753917760.5480692,0.0,0.0,0.0,-0.028001330668049065,-0.007490346529841377,0.00793832143057061,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.9649488469026264,0.21390988054610377,-0.0600996320242339,0.07883383,0.22019158926666485,0.9751218360903363,0.07253951610095924,0.9196613,0.14279141037720766,-0.058137490353153104,0.9955531391314029,0.4734296,0.0,0.0,0.0,1.0,0.9940894394684994,0.01302386205000687,-0.025537686771984886,0.002283127318916417,-0.015658273699424654,0.9998240016020457,-0.013473525297430919,-0.000928995508281516,0.025361760236417168,0.010978986760323555,1.00511760849993,0.013556594315321968,-1.6244195107903166e-16,-2.537827859850085e-16,-2.3075472879146675e-17,0.9999999999999996,0.9998240016020457,-0.013473525297430919,-0.015658273699424654,-0.000928995508281516,0.010978986760323555,1.00511760849993,0.025361760236417168,0.013556594315321968,0.01302386205000687,-0.025537686771984886,0.9940894394684994,0.002283127318916417,0.0,0.0,0.0,1.0,0.01302472057046969,-0.025085686604078776,0.9941008065167977,0.4557833002186079,0.9998249422382608,-0.013392029728514178,-0.015652197595633025,0.00043481820969100817,0.010891962395656837,1.0051300801953824,0.024916044497695203,0.4367931334580796,0.0,0.0,0.0,1.0
1753917760.5686643,0.0,0.0,0.0,-0.02880429012375123,-0.0078002008545893465,0.00893283030152768,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.9649805541160076,0.21347216609618858,-0.059704022670299596,0.0787345,0.21961780323870478,0.9752788130258623,0.07136569966009466,0.9196662,0.1434592300222207,-0.05710403808021296,0.995661773188571,0.4736408,0.0,0.0,0.0,1.0,0.9939235175777748,0.013388788068616458,-0.026206426532352303,0.0023613979961273623,-0.01626989741471189,0.9998039886826009,-0.01453128172364798,-0.0009617301934974343,0.026010719566144046,0.011975714063331701,1.0052308216334234,0.013757816151513502,-1.6228042812935574e-16,-2.5386900765906483e-16,-2.2701692046030518e-17,0.9999999999999996,0.9998039886826009,-0.01453128172364798,-0.01626989741471189,-0.0009617301934974343,0.011975714063331701,1.0052308216334234,0.026010719566144046,0.013757816151513502,0.013388788068616458,-0.026206426532352303,0.9939235175777748,0.0023613979961273623,0.0,0.0,0.0,1.0,0.013390094803806714,-0.02575437107851835,0.9939351789358207,0.45586166149908125,0.9998050117111127,-0.014449779662594092,-0.016263769294755308,0.0004021001767181453,0.011888527133275933,1.0052436798806486,0.025565128017602606,0.4369943227369403,0.0,0.0,0.0,1.0
1753917760.5888715,0.0,0.0,0.0,-0.029530443176245827,-0.008037318954873283,0.009392730284121917,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.9649853526180188,0.21309635545282093,-0.05922236363417564,0.0787365,0.21917760021711485,0.975393011884995,0.07067272547943597,0.9194472,0.14409874668346181,-0.05655453702969102,0.995739964809533,0.4740917,0.0,0.0,0.0,1.0,0.9937638361577135,0.013731946076900746,-0.026849250285596003,0.002264047819256376,-0.016743663438452776,0.9997906596313354,-0.015100308697096611,-0.0012057980301044546,0.026640227978276736,0.012487886884270959,1.005345053626679,0.01420625770031736,-1.6215399700637675e-16,-2.53938475122671e-16,-2.245508802914514e-17,0.9999999999999996,0.9997906596313354,-0.015100308697096611,-0.016743663438452776,-0.0012057980301044546,0.012487886884270959,1.005345053626679,0.026640227978276736,0.01420625770031736,0.013731946076900746,-0.026849250285596003,0.9937638361577135,0.002264047819256376,0.0,0.0,0.0,1.0,0.013733483125933222,-0.02639714108312162,0.9937757825168222,0.45576451396519296,0.9997917256264461,-0.015018799958079521,-0.016737484856657863,0.00015806835347251182,0.01240054668460921,1.0053582470968911,0.026194746624484292,0.4374428278254279,0.0,0.0,0.0,1.0
1753917760.6092727,0.0,0.0,0.0,-0.031049046972291886,-0.008528034130446538,0.010638070428515787,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.9650120150425784,0.2123729523794927,-0.058412376052212216,0.07860538,0.21827943141719347,0.975629157131823,0.0690476350916748,0.919167,0.1452786998966092,-0.055185839233142644,0.9959018116321418,0.4748409,0.0,0.0,0.0,1.0,0.9934675454078574,0.014364434673220192,-0.028036939776296912,0.002254769668093015,-0.017705335809671967,0.9997589100499852,-0.016505881094536923,-0.0015606305343536242,0.027795687544856538,0.013789956298962253,1.0055484324405422,0.014936972042197572,-1.6189825983342686e-16,-2.5407565061595277e-16,-2.1910198670827327e-17,0.9999999999999996,0.9997589100499852,-0.016505881094536923,-0.017705335809671967,-0.0015606305343536242,0.013789956298962253,1.0055484324405422,0.027795687544856538,0.014936972042197572,0.014364434673220192,-0.028036939776296912,0.9934675454078574,0.002254769668093015,0.0,0.0,0.0,1.0,0.014366557252289395,-0.027584733274977465,0.9934800152607693,0.4557555658213288,0.9997600843073154,-0.01642436063935872,-0.017699064618035214,-0.00019670486532660596,0.013702334147495,1.0055622740308503,0.02735041736512533,0.43817357506868954,0.0,0.0,0.0,1.0
1753917760.629518,0.0,0.0,0.0,-0.03132662611610668,-0.008660370399668771,0.011029401186696916,-0.9650308559157669,0.22741053380449985,-0.08126438685090359,0.08235005,0.23447372792249055,0.9712383174807183,0.09114698219051307,0.9187926,0.11720715867476776,-0.07057322276880866,0.9925161596000889,0.4596413,0.0,0.0,0.0,1.0,-0.965029874197368,0.2121980721666884,-0.05829043215423558,0.07864556,0.21804995846968211,0.9756897348685862,0.06860049862115748,0.9189999,0.14550449311956679,-0.054786124528102685,0.9959398561701409,0.4752409,0.0,0.0,0.0,1.0,0.9934105495540718,0.014511097045936477,-0.02826276101341775,0.0021363608909496373,-0.01794820504446769,0.9997497667116475,-0.01691511076656872,-0.0017420163910638609,0.028012644697989298,0.014174715324296316,1.0055843328603167,0.015341073645963932,-1.6183435682394693e-16,-2.5410954275868675e-16,-2.1770828554123624e-17,0.9999999999999996,0.9997497667116475,-0.01691511076656872,-0.01794820504446769,-0.0017420163910638609,0.014174715324296316,1.0055843328603167,0.028012644697989298,0.015341073645963932,0.014511097045936477,-0.02826276101341775,0.9934105495540718,0.0021363608909496373,0.0,0.0,0.0,1.0,0.014513392651108206,-0.027810536678318166,0.9934231179559949,0.45563733949663,0.9997509727976598,-0.016833588308066093,-0.01794191646905959,-0.0003780583936412263,0.014087027929389458,1.0055983092074159,0.027567419839806907,0.4385777445969839,0.0,0.0,0.0,1.0
